,x,y,ref
0,5.747207602892445,734.5982545151642,baffin1
1,1085.1838059899285,817.6318390064746,baffin1
2,102.29788724395121,736.5292681079852,baffin1
3,200.77958047783102,732.6672409223429,baffin1
4,299.2612737117108,782.8735943356935,baffin1
5,397.74296694559075,580.1171670894703,baffin1
6,496.22466017947045,510.600677747908,baffin1
7,594.7063534133504,462.32533792737865,baffin1
8,693.1880466472303,566.600071939722,baffin1
9,793.6007534739313,545.3589224186892,baffin1
10,695.1190602400513,655.4266972094961,baffin1
11,892.082446707811,545.3589224186892,baffin1
12,992.4951535345122,815.7008254136533,baffin1
