,x,y,ref
0,5.747207602892445,921.9065730188179,beaufort-amundsen2
1,100.36687365112994,860.1141380485403,beaufort-amundsen2
2,202.71059407065218,1018.4572526598766,beaufort-amundsen2
3,299.2612737117108,1018.4572526598766,beaufort-amundsen2
4,401.60499413123307,653.4956836166748,beaufort-amundsen2
5,496.22466017947045,713.3571049941312,beaufort-amundsen2
6,596.6373670061716,862.0451516413616,beaufort-amundsen2
7,695.1190602400513,653.4956836166748,beaufort-amundsen2
8,795.5317670667523,715.2881185869524,beaufort-amundsen2
9,793.6007534739313,780.9425807428722,beaufort-amundsen2
10,894.0134603006322,730.7362273295219,beaufort-amundsen2
11,992.4951535345122,815.7008254136533,beaufort-amundsen2
12,1085.1838059899285,858.1831244557193,beaufort-amundsen2
