,x,y,ref
0,5.747207602892445,732.6672409223429,baffin2
1,100.36687365112994,734.5982545151642,baffin2
2,200.77958047783102,732.6672409223429,baffin2
3,299.2612737117108,788.666635114157,baffin2
4,496.22466017947045,512.5316913407291,baffin2
5,596.6373670061716,813.7698118208323,baffin2
6,695.1190602400513,819.5628525992958,baffin2
7,793.6007534739313,497.08358259815975,baffin2
8,895.9444738934535,497.08358259815975,baffin2
9,992.4951535345122,711.42609140131,baffin2
10,1085.1838059899285,713.3571049941312,baffin2
