,station,lon,lat,date,month
0,1001,128.162083,73.805,2008-04-19,4
1,1101,127.5812333,73.928,2008-04-19,4
2,1301,131.2445333,74.673,2008-04-21,4
3,1401,130.71461670000002,74.604,2008-04-21,4
4,1501,128.1621667,73.805,2008-04-24,4
5,1602,127.78355,74.377,2008-04-24,4
6,2202,131.2445667,74.673,2008-04-29,4
7,2301,129.3197,74.39,2008-04-29,4
8,404,129.31975,74.39,2008-04-12,4
9,501,131.2445667,74.673,2008-04-14,4
10,801,128.60515,74.056,2008-04-16,4
