Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],StnNo,CastNo,Depth [m],CTD-Temperature [・ｰC],CTD-Salinity,CTD-Oxygen [~$m~#mol/kg],CTD-Oxygen_SBE43 [~$m~#mol/kg],Fluorescence [~$m~#g/L],Transmission [%],PAR [~$m~#E/m~^2~#/s],LogE1 [m~^2~#/s~^3~#],LogE2 [m~^2~#/s~^3~#],LogX [K~^2~#/s],LogKrho1 [m~^2~#/s],LogKrho2 [m~^2~#/s],Salinity,Oxygen [~$m~#mol/kg],DIC [~$m~#mol/kg],Total Alkalinity [~$m~#mol/kg],Nitrate [~$m~#mol/kg],Nitrite [~$m~#mol/kg],Silicate [~$m~#mol/kg],Phosphate [~$m~#mol/kg],Ammonium [~$m~#mol/kg],Total N [~$m~#mol/kg],Chl-a [~$m~#g/L],Chl-a >20 ~$m~#m [~$m~#g/L],Chl-a 10-20 ~$m~#m [~$m~#g/L],Chl-a 2-10 ~$m~#m [~$m~#g/L],Chl-a <2 ~$m~#m [~$m~#g/L],d-POC_C1 [mgC/m~^3~#/day],d-POC_C2 [mgC/m~^3~#/day],Grad_Si [~$m~#mol/kg/m],Grad_P [~$m~#mol/kg/m],Grad_N [~$m~#mol/kg/m],Day of Year (station date) [days],Krho1 [m~^2~#/s],Krho2 [m~^2~#/s],Flux_Si1 [mmol/m~^2~#/s],Flux_Si2 [mmol/m~^2~#/s],Flux_P1 [mmol/m~^2~#/s],Flux_P2 [mmol/m~^2~#/s],Flux_N1 [mmol/m~^2~#/s],Flux_N2 [mmol/m~^2~#/s],Log_Flux_Si1 [mmol/m~^2~#/s],Log_Flux_Si2 [mmol/m~^2~#/s],Log_Flux_P1 [mmol/m~^2~#/s],Log_Flux_P2 [mmol/m~^2~#/s],Log_Flux_N1 [mmol/m~^2~#/s],Log_Flux_N2 [mmol/m~^2~#/s],Potential Density Anomaly ~$s~#~_0 [kg/m~^3]
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,0,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.1839,337.17001,1930.30005,2142.3999,0.05,0.01,2.34,0.292,0.08,0.14,0.28,0.09,0.02,0.04,0.08,6.4242,6.8519,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.945915
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,1,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.21566,337.68799,1933.21997,2144.5,0.046,0.01,2.334,0.297,0.072,0.128,0.282,0.092,0.022,0.043,0.08,6.29337,6.66828,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.9459
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,2,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.24742,338.20599,1936.14001,2146.6001,0.042,0.01,2.328,0.302,0.064,0.116,0.284,0.093,0.024,0.045,0.08,6.16254,6.48466,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.945884
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,3,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.27918,338.724,1939.06006,2148.69995,0.038,0.01,2.322,0.307,0.056,0.104,0.286,0.095,0.026,0.048,0.08,6.03171,6.30104,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.945868
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,4,3.1363,31.3262,342.92001,342.07999,0.261,97.718,175.894,-999,-999,-999,-999,-999,31.31094,339.242,1941.97998,2150.80005,0.034,0.01,2.316,0.312,0.048,0.092,0.288,0.096,0.028,0.05,0.08,5.90088,6.11742,-0.006,0.005,-0.012,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.945853
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,5,3.1254,31.3379,343.04001,342.25,0.239,97.684,153.504,-999,-999,-999,-999,-999,31.3427,339.76001,1944.90002,2152.8999,0.03,0.01,2.31,0.317,0.04,0.08,0.29,0.098,0.03,0.053,0.08,5.77005,5.9338,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.956083
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,6,3.1304,31.3357,343.42999,342.48001,0.239,97.723,131.98399,-999,-999,-999,-999,-999,31.35262,339.978,1946.05005,2153.6001,0.031,0.01,2.312,0.3182,0.031,0.072,0.295,0.099,0.032,0.055,0.08,5.63922,5.75018,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.953892
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,7,3.1539,31.3118,343.07001,341.98001,0.221,97.663,119.414,-999,-999,-999,-999,-999,31.36254,340.19601,1947.19995,2154.30005,0.032,0.01,2.314,0.3194,0.022,0.064,0.3,0.101,0.034,0.058,0.08,5.50839,5.56656,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.932841
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,8,3.1436,31.3184,342.75,342.07999,0.219,97.674,105.754,-999,-999,-999,-999,-999,31.37246,340.414,1948.34998,2155,0.033,0.01,2.316,0.3206,0.013,0.056,0.305,0.102,0.036,0.06,0.08,5.37756,5.38294,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.938956
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,9,3.1202,31.3353,343.57999,342.03,0.237,97.659,95.375,-999,-999,-999,-999,-999,31.38238,340.63199,1949.5,2155.69995,0.034,0.01,2.318,0.3218,0.004,0.048,0.31,0.104,0.038,0.063,0.08,5.24673,5.19932,0.002,0.0012,-0.008,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.954385
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,10,3.2364,31.2839,341.94,340.47,0.272,97.663,85.152,-999,-999,-999,-999,-999,31.3923,340.85001,1950.65002,2156.3999,0.035,0.01,2.32,0.323,-0.005,0.04,0.315,0.105,0.04,0.065,0.08,5.1159,5.0157,0.091,0.0082,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.903552
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,11,3.158,31.3122,342.35999,341.06,0.27,97.624,76.655,-999,-999,-999,-999,-999,31.43134,344.651,1954.92004,2159.25,0.038,0.01,2.411,0.3312,0.002,0.05,0.324,0.106,0.042,0.068,0.08,5.03179,4.98214,0.091,0.0081,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.932771
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,12,3.0804,31.3949,343.47,342.26999,0.287,97.494,68.36,-999,-999,-999,-999,-999,31.47038,348.452,1959.18994,2162.11011,0.041,0.01,2.502,0.3393,0.009,0.06,0.334,0.108,0.044,0.07,0.08,4.94768,4.94858,0.091,0.0082,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.005238
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,13,3.0296,31.4478,344.47,343,0.294,97.441,63.088,-999,-999,-999,-999,-999,31.50942,352.25299,1963.45996,2164.95996,0.045,0.01,2.593,0.3475,0.015,0.07,0.343,0.11,0.046,0.072,0.08,4.86357,4.91502,0.091,0.0082,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.051671
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,14,3.0302,31.4885,344.31,342.94,0.339,97.321,56.141,-999,-999,-999,-999,-999,31.54846,356.05399,1967.73999,2167.82007,0.048,0.01,2.684,0.3557,0.022,0.08,0.353,0.111,0.048,0.075,0.08,4.77946,4.88146,0.091,0.0081,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.084087
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,15,3.0238,31.5149,344.54999,343.60001,0.392,97.287,51.27,-999,-999,-999,-999,-999,31.5875,359.85501,1972.01001,2170.66992,0.051,0.01,2.775,0.3638,0.029,0.09,0.362,0.112,0.05,0.078,0.08,4.69535,4.8479,0.091,0.0082,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.10568
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,16,3.0232,31.5316,344.85999,343.88,0.403,97.246,46.532,-999,-999,-999,-999,-999,31.62654,363.65601,1976.28003,2173.53003,0.054,0.01,2.866,0.372,0.036,0.1,0.372,0.114,0.052,0.08,0.08,4.61124,4.81434,0.091,0.0082,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.119054
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,17,3.0181,31.5422,345.07999,343.92001,0.441,97.274,41.76,-999,-999,-999,-999,-999,31.66558,367.457,1980.55005,2176.37988,0.057,0.01,2.957,0.3802,0.043,0.11,0.381,0.116,0.054,0.082,0.08,4.52713,4.78078,0.091,0.0081,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.127937
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,18,3.0174,31.542,345.37,344.32001,0.414,97.323,37.443,-999,-999,-999,-999,-999,31.70462,371.258,1984.81995,2179.23999,0.06,0.01,3.048,0.3883,0.05,0.12,0.391,0.117,0.056,0.085,0.08,4.44302,4.74722,0.091,0.0082,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.127839
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,19,2.9916,31.5637,345.89001,344.35999,0.402,97.327,34.109,-999,-999,-999,-999,-999,31.74366,375.05899,1989.08997,2182.09009,0.064,0.01,3.139,0.3965,0.056,0.13,0.4,0.118,0.058,0.088,0.08,4.35891,4.71366,0.091,0.0082,0.01,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.147299
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,20,2.9838,31.5911,346.26999,344.32999,0.476,97.295,31.047,-999,-999,-999,-999,-999,31.7827,378.85999,1993.37,2184.94995,0.067,0.01,3.23,0.4047,0.063,0.14,0.41,0.12,0.06,0.09,0.08,4.2748,4.6801,-0.147,0.0296,0.21600001,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.169809
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,21,3.0125,31.6036,345.57999,343.82001,0.442,97.308,27.889,-999,-999,-999,-999,-999,31.83518,382.202,2003.06995,2188.36011,0.2,0.013,3.083,0.4343,0.143,0.356,0.391,0.116,0.058,0.088,0.078,3.85621,4.17967,-0.147,0.0296,0.215,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.177498
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,22,3.0116,31.6057,345.25,343.45999,0.435,97.417,25.086,-999,-999,-999,-999,-999,31.88766,385.54401,2012.78003,2191.78003,0.333,0.016,2.936,0.4639,0.222,0.571,0.373,0.113,0.057,0.086,0.077,3.43763,3.67924,-0.147,0.0296,0.21699999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.179356
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,23,2.9625,31.611,346.35001,343.48999,0.47,97.295,22.856,-999,-999,-999,-999,-999,31.94014,388.88599,2022.47998,2195.19995,0.467,0.019,2.789,0.4935,0.302,0.788,0.354,0.109,0.055,0.084,0.075,3.01904,3.17881,-0.148,0.0296,0.214,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.187775
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,24,2.7283,31.6325,351.67001,344.25,0.505,97.28,20.807,-999,-999,-999,-999,-999,31.99262,392.228,2032.18994,2198.61011,0.6,0.021,2.641,0.5231,0.381,1.002,0.336,0.106,0.054,0.082,0.074,2.60046,2.67839,-0.147,0.0297,0.21600001,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.224106
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,25,2.1743,31.7219,362.75,367.5,0.515,97.351,18.805,-999,-999,-999,-999,-999,32.0451,395.57001,2041.89001,2202.03003,0.733,0.024,2.494,0.5528,0.461,1.218,0.317,0.102,0.052,0.08,0.072,2.18187,2.17796,-0.147,0.0296,0.21600001,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.338092
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,26,0.2368,32.0394,413.78,406.03,0.431,97.492,16.883,-999,-999,-999,-999,-999,32.09758,398.91199,2051.6001,2205.43994,0.867,0.027,2.347,0.5824,0.54,1.434,0.299,0.099,0.05,0.078,0.07,1.76329,1.67753,-0.147,0.0296,0.21600001,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.711351
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,27,-0.0433,32.11,443.67999,423.87,0.392,97.958,15.325,-999,-999,-999,-999,-999,32.15006,402.254,2061.30005,2208.86011,1,0.03,2.2,0.612,0.62,1.65,0.28,0.095,0.049,0.076,0.069,1.3447,1.1771,-0.113,0.03,0.1,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.781504
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,28,-0.4244,32.1913,450.89999,432.67999,0.35,98.496,13.973,-999,-999,-999,-999,-999,32.20254,405.59601,2065.27002,2212.27002,1.083,0.03,2.087,0.642,0.637,1.75,0.297,0.092,0.047,0.075,0.067,1.19294,1.04809,-0.114,0.03,0.1,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.863465
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,29,-0.6699,32.2465,449.10999,435.64999,0.268,98.43,12.577,-999,-999,-999,-999,-999,32.25502,408.93799,2069.22998,2215.68994,1.167,0.03,1.973,0.672,0.653,1.85,0.313,0.088,0.045,0.073,0.065,1.04119,0.91907,-0.113,0.03,0.1,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.91763
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,30,-0.7624,32.2776,442.78,432.23001,0.249,98.699,11.425,-999,-999,-999,-999,-999,32.3075,412.28,2073.19995,2219.1001,1.25,0.03,1.86,0.702,0.67,1.95,0.33,0.085,0.044,0.071,0.064,0.88943,0.79006,0.107,0.192,1.85699999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.946246
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,31,-0.8362,32.2965,428.31,418.73999,0.185,98.875,10.296,-999,-999,-999,-999,-999,32.33657,400.37601,2094.69995,2220.98999,2.477,0.05,1.967,0.894,1.28,3.807,0.278,0.081,0.042,0.069,0.062,0.73767,0.66104,0.108,0.192,1.85800004,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.964262
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,32,-0.983,32.3218,408,401.48999,0.172,98.701,9.408,-999,-999,-999,-999,-999,32.36564,388.47198,2116.19995,2222.87988,3.705,0.07,2.075,1.086,1.89,5.665,0.225,0.077,0.041,0.067,0.061,0.58591,0.53203,0.107,0.192,1.85699999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.989814
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,33,-1.0955,32.3548,379.10001,387.62,0.193,98.744,8.625,-999,-999,-999,-999,-999,32.39471,376.56799,2137.69995,2224.77002,4.932,0.09,2.182,1.278,2.5,7.522,0.172,0.074,0.039,0.065,0.059,0.43416,0.40301,0.108,0.192,1.85800004,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.020264
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,34,-1.123,32.3763,368.53,373.48999,0.188,98.778,7.76,-999,-999,-999,-999,-999,32.42378,364.664,2159.19995,2226.65991,6.16,0.11,2.29,1.47,3.11,9.38,0.12,0.07,0.037,0.063,0.057,0.2824,0.274,0.70700002,0.0607,0.73699999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.038663
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,35,-1.1837,32.3992,355.66,359.16,0.212,98.87,7.09,-999,-999,-999,-999,-999,32.45285,352.76001,2165.53003,2228.55005,6.615,0.12,2.997,1.5307,3.382,10.117,0.112,0.067,0.036,0.061,0.056,0.27416,0.26547,0.70599997,0.0606,0.736,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.059197
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,36,-1.1943,32.4288,343.5,345.87,0.149,98.979,6.449,-999,-999,-999,-999,-999,32.48192,340.85599,2171.87012,2230.43994,7.07,0.13,3.703,1.5913,3.653,10.853,0.103,0.063,0.034,0.059,0.054,0.26592,0.25694,0.70700002,0.0607,0.73699999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.08363
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,37,-1.2525,32.4481,325.92999,336.82999,0.111,99.137,5.87,-999,-999,-999,-999,-999,32.51099,328.952,2178.19995,2232.33008,7.525,0.14,4.41,1.652,3.925,11.59,0.095,0.06,0.033,0.057,0.053,0.25768,0.24841,0.70700002,0.0607,0.73699999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.101129
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,38,-1.2611,32.4845,321.44,331.81,0.115,99.112,5.383,-999,-999,-999,-999,-999,32.54006,317.048,2184.53003,2234.21997,7.98,0.15,5.117,1.7127,4.197,12.327,0.087,0.056,0.031,0.055,0.051,0.24944,0.23988,0.70599997,0.0606,0.736,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.131015
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,39,-1.2621,32.5006,327.16,325.35999,0.114,99.082,4.891,-999,-999,-999,-999,-999,32.56913,305.14401,2190.87012,2236.11011,8.435,0.16,5.823,1.7733,4.468,13.063,0.078,0.053,0.029,0.053,0.049,0.24119,0.23135,0.70700002,0.0607,0.73699999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.144222
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,40,-1.2765,32.5331,320.59,327.62,0.111,98.986,4.497,-999,-999,-999,-999,-999,32.5982,293.23999,2197.19995,2238,8.89,0.17,6.53,1.834,4.74,13.8,0.07,0.049,0.028,0.051,0.048,0.23295,0.22282,1.16900003,0.0309,0.271,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.171119
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,41,-1.2437,32.557,330.54001,318.01999,0.114,99.003,4.15,-999,-999,-999,-999,-999,32.61025,290.68799,2200.01001,2238.48999,9.031,0.177,7.699,1.8649,4.863,14.071,0.072,0.045,0.026,0.049,0.046,0.22471,0.21429,1.16799998,0.0308,0.27200001,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.189621
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,42,-1.3627,32.5756,306.45001,306.28,0.123,99.063,3.779,-999,-999,-999,-999,-999,32.6223,288.13599,2202.82007,2238.97998,9.173,0.184,8.867,1.8957,4.986,14.343,0.075,0.042,0.025,0.047,0.045,0.21647,0.20576,1.16900003,0.0309,0.271,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.208245
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,43,-1.3504,32.5858,297.70999,302.45001,0.13,99.095,3.463,-999,-999,-999,-999,-999,32.63434,285.58499,2205.62988,2239.46997,9.314,0.19,10.036,1.9266,5.11,14.614,0.077,0.038,0.023,0.045,0.043,0.20823,0.19724,1.16900003,0.0309,0.271,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.216266
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,44,-1.347,32.5955,301.04999,302.03,0.136,99.003,3.177,-999,-999,-999,-999,-999,32.64639,283.03299,2208.43994,2239.95996,9.455,0.197,11.205,1.9575,5.233,14.885,0.079,0.035,0.021,0.044,0.041,0.19999,0.18871,1.16799998,0.0308,0.27200001,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.224132
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,45,-1.3837,32.6135,294.70999,291.82001,0.138,98.855,2.922,-999,-999,-999,-999,-999,32.65843,280.48099,2211.25,2240.44995,9.597,0.204,12.373,1.9883,5.356,15.157,0.081,0.031,0.02,0.042,0.04,0.19175,0.18018,1.16900003,0.0309,0.271,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.239859
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,46,-1.4269,32.6654,279.92001,280.48001,0.149,97.631,2.675,-999,-999,-999,-999,-999,32.67048,277.92899,2214.05005,2240.94995,9.738,0.211,13.542,2.0192,5.479,15.428,0.084,0.028,0.018,0.04,0.038,0.18351,0.17165,1.16799998,0.0308,0.27200001,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.283254
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,47,-1.4627,32.751,267.54999,270.45001,0.157,92.598,2.445,-999,-999,-999,-999,-999,32.68252,275.37701,2216.86011,2241.43994,9.88,0.218,14.71,2.05,5.602,15.7,0.086,0.024,0.016,0.038,0.036,0.17526,0.16312,1.16900003,0.0309,0.271,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.353772
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,48,-1.4896,32.8,260.54001,263.39001,0.151,87.324,2.237,-999,-999,-999,-999,-999,32.69456,272.82501,2219.66992,2241.92993,10.021,0.225,15.879,2.0809,5.725,15.971,0.088,0.021,0.015,0.036,0.035,0.16702,0.15459,1.16900003,0.0309,0.271,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.394356
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,49,-1.4953,32.8073,258.48999,260.10999,0.145,84.834,2.045,-999,-999,-999,-999,-999,32.70661,270.27399,2222.47998,2242.41992,10.162,0.231,17.048,2.1118,5.849,16.242,0.09,0.017,0.013,0.034,0.033,0.15878,0.14606,1.16799998,0.0308,0.27200001,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.400532
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,50,-1.4963,32.808,257.82001,258.89999,0.145,84.114,1.806,-999,-999,-999,-999,-999,32.71866,267.72198,2225.29004,2242.90991,10.304,0.238,18.216,2.1426,5.972,16.514,0.093,0.014,0.012,0.032,0.032,0.15054,0.13753,1.16900003,0.0309,0.271,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.401223
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,51,-1.4956,32.8081,258.01001,258.29999,0.139,83.92,1.424,-999,-999,-999,-999,-999,32.7307,265.17001,2228.1001,2243.3999,10.445,0.245,19.385,2.1735,6.095,16.785,0.095,0.01,0.01,0.03,0.03,0.1423,0.129,-999,-999,-999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.401349
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
MR13-06,41_1,C,2013-09-10T21:13,191.7587,72.7532,56,41,1,56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,253.884,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
