,station,lon,lat,date,month
0,20,125.986512,74.800465,2011-08-31,8
1,25,127.9851,74.3325,2011-09-02,9
2,4,130.9917,74.008997,2011-08-26,8
3,5,130.99903,75.01193,2011-08-26,8
