depth,lat,lon,nitrate,temp,sal,month
2.5,74.47083628571428,128.70366485714285,1.7742857142857142,5.793571428571428,16.790999999999997,8.285714285714286
7.5,74.538473,128.9905855,1.73,5.53,18.18625,8.25
12.5,74.538473,128.9905855,1.7975,4.508,23.3555,8.25
17.5,74.538473,128.9905855,0.78,0.68025,30.41325,8.25
22.5,74.672215,129.492065,2.03,-1.4415,33.212,8.5
27.5,74.672215,129.492065,2.5,-1.4625,33.2295,8.5
