level_0,database,station,date,depth,lat,lon,ntr0,temp,sal,p,SA,CT,sigth,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,TIME,latitude,longitude,CTDPRS,CTDPRS_FLAG_W,BTLDPTH,BTLDPTH_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLORA_STDEV,CHLORA_STDEV_FLAG_W,PPHYTIN,PPHYTIN_FLAG_W,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NH4,NH4_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,FLUOR,FLUOR_FLAG_W,XMISS,XMISS_FLAG_W,SALT,SALT_FLAG_W,mld,nc0,nc,delta_sigth,N2_30_100,doy,month,deltanc,deltanc0,year,season,reg_name,reg_idx
2265,codispoti,     316N147_2+71016,1996-11-17,0.0,62.4,-31.6333,12.21,5.59,34.79,10.097303800616476,34.955657840274974,5.585708157776315,27.440075522948064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,0.0,114.0,-0.0015152831075688766,9.03001741433027e-06,322,11,-42.0,-156.0,1996,,,
2416,codispoti,     316N147_2+71017,1996-11-18,0.0,62.0938,-30.7888,11.22,7.18,34.91,9.08733925470188,35.076212417592004,7.1729367139393245,27.325001476276384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,0.0,112.0,-0.01841730461498514,6.569576528716187e-06,323,11,-54.0,-166.0,1996,,,
2567,codispoti,     316N147_2+71018,1996-11-18,0.0,61.8053,-29.9353,11.01,7.35,34.94,9.087138209194581,35.106316571875865,7.342370676270713,27.324465712686106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,0.0,110.0,0.0062544986363874955,5.445581593747061e-06,323,11,-102.0,-212.0,1996,,,
2718,codispoti,     316N147_2+71019,1996-11-18,0.0,61.6288,-29.5262,11.39,7.53,34.98,6.057965148223881,35.14648571984561,7.521634482839618,27.33002048160165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,0.0,202.0,0.0030969149928097295,,323,11,-82.0,-284.0,1996,,,
2869,codispoti,     316N147_2+71020,1996-11-18,0.0,61.4863,-29.1078,11.11,7.66,35.0,6.057898347653727,35.16655461629557,7.651229574106644,27.32679598520508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,0.0,178.0,-0.001793323158100435,9.261563016483327e-06,323,11,-108.0,-286.0,1996,,,
3020,codispoti,     316N147_2+71021,1996-11-18,0.0,61.3388,-28.675,11.58,7.87,35.06,9.086810289564303,35.226806456990545,7.860131123779674,27.342938515154856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,224.0,-0.002941567198156747,,323,11,,,1996,,,
3171,codispoti,     316N147_2+71022,1996-11-18,0.0,61.1878,-28.2508,11.22,7.89,35.07,9.08670340858477,35.23682562643002,7.87995813266231,27.347795195278195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,214.0,-6.652132706364e-05,,323,11,,,1996,,,
3322,codispoti,     316N147_2+71023,1996-11-18,0.0,61.1328,-28.138,11.53,7.85,35.08,8.077015214402618,35.24686511098124,7.839835617758726,27.361596584354402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,232.0,-0.0019434711743002708,,323,11,,,1996,,,
3473,codispoti,     316N147_2+71024,1996-11-18,0.0,61.0833,-27.9828,11.22,7.84,35.06,9.086629232845713,35.22675814602739,7.830156804385251,27.347358279590708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-0.001970751537772486,,323,11,,,1996,,,
3624,codispoti,     316N147_2+71025,1996-11-18,0.0,60.9778,-27.7167,11.79,7.64,35.06,9.086554175492775,35.22673350355142,7.630326336324747,27.376808000078654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,224.0,-7.765509296930873e-05,,323,11,,,1996,,,
3775,codispoti,     316N147_2+71026,1996-11-18,0.0,60.8805,-27.4417,11.43,8.06,35.12,9.08648479985088,35.2869949832817,8.04902201836186,27.361519311546317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,182.0,-0.0005250955721578521,,323,11,,,1996,,,
3926,codispoti,     316N147_2+71027,1996-11-19,0.0,60.733000000000004,-27.0355,10.96,8.62,35.15,10.096001807524853,35.31709975620686,8.608046543374243,27.29881789631986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,180.0,0.00035948231713334167,,324,11,,,1996,,,
4077,codispoti,     316N147_2+71028,1996-11-19,0.0,60.58,-26.613000000000003,10.62,8.76,35.15,10.095879888657498,35.31706299811717,8.747929283423098,27.276713001200733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,216.0,5.703326144157472e-05,,324,11,,,1996,,,
4228,codispoti,     316N147_2+71029,1996-11-19,0.0,60.2792,-25.8228,10.82,8.86,35.17,6.057324044087626,35.337095090598346,8.847507311666739,27.276436202824698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,216.0,0.002009462425672126,,324,11,,,1996,,,
4379,codispoti,     316N151_2+71030,1997-06-14,0.0,60.0,-24.6668,5.06,10.17,35.17,1.0095191478127747,35.337024683596724,10.156522230467344,27.058487274283152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.0,18.0,0.14705529199034828,2.378392228806675e-05,165,6,-14.0,-32.0,1997,,,
4530,codispoti,     316N151_2+71031,1997-06-14,0.0,60.2953,-25.4937,5.82,10.09,35.22,3.0286436286594096,35.38732692838618,10.075639764047146,27.11138251660691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,0.0,20.0,0.07695816744268313,1.2194319106156005e-05,165,6,-20.0,-40.0,1997,,,
4681,codispoti,     316N151_2+71032,1997-06-14,0.0,60.5817,-26.3023,5.27,10.17,35.2,1.0095658520071984,35.36730295196534,10.155955865107385,27.082006413031422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,0.0,16.0,0.10201994902904943,2.3203470003237062e-05,165,6,-10.0,-26.0,1997,,,
4832,codispoti,     316N151_2+71033,1997-06-15,0.0,60.8833,-26.9988,5.6,9.72,35.2,2.019184640730081,35.36736842782684,9.706284008771108,27.1589348650366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,14.0,0.05222400334776012,1.611819994904904e-05,166,6,-6.0,-20.0,1997,,,
4983,codispoti,     316N151_2+71034,1997-06-15,0.0,61.0425,-27.5317,7.94,9.54,35.17,2.0192098461151935,35.337268263502125,9.526961635307817,27.165681040790787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.0,44.0,0.05244580244482222,2.074083381042241e-05,166,6,22.0,-22.0,1997,,,
5134,codispoti,     316N151_2+71035,1997-06-15,0.0,61.1753,-27.9245,8.2,8.92,35.12,3.0288536327191187,35.28706262585423,8.908308526340218,27.227844512658294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.0,22.0,0.07446995062142392,7.744064851004623e-06,166,6,-10.0,-32.0,1997,,,
5285,codispoti,     316N151_2+71036,1997-06-15,0.0,61.2782,-28.2575,9.3,8.33,35.05,2.019247003133889,35.216754230832024,8.319926589195632,27.265532043501707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.0,42.0,0.07292204761978383,1.1629226832073517e-05,166,6,-18.0,-60.0,1997,,,
5436,codispoti,     316N151_2+71037,1997-06-15,0.0,61.4667,-28.8012,9.42,8.5,35.06,1.009635814888576,35.22684130803438,8.489634365385454,27.247131533559468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.0,38.0,0.09159224529308929,1.8298498258366386e-05,166,6,2.0,-36.0,1997,,,
5587,codispoti,     316N151_2+71038,1997-06-15,0.0,61.7505,-29.6483,8.55,8.53,35.01,2.019320874009,35.17665616393003,8.520439022175683,27.203298807638703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0.0,26.0,0.12881074665311587,2.9153525044847806e-05,166,6,-8.0,-34.0,1997,,,
5738,codispoti,     316N151_2+71039,1997-06-15,0.0,62.0365,-30.5113,7.97,7.98,35.0,2.0193652199849095,35.16665719936811,7.9709868988884,27.279495262729142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,0.0,38.0,0.11569659195403759,2.2244076589529887e-05,166,6,-24.0,-62.0,1997,,,
5889,codispoti,     316N151_2+71040,1997-06-15,0.0,62.3333,-31.3832,8.64,8.35,35.02,3.0291238163480174,35.18677086483746,8.340398278761855,27.239046020098613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.0,48.0,0.13614051552558237,2.305538101444978e-05,166,6,12.0,-36.0,1997,,,
6040,codispoti,     316N151_2+71041,1997-06-16,0.0,62.6343,-32.2612,8.24,8.3,35.04,2.019456948503224,35.20689238253416,8.290108740266932,27.26243528627265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.0,32.0,0.14271624950172068,2.980963498500698e-05,167,6,0.0,-32.0,1997,,,
6191,codispoti,     316N151_2+71042,1997-06-16,0.0,62.9167,-33.1327,7.81,7.8,34.95,3.0292571545824565,35.11648265811153,7.791897411374994,27.26704297690685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,0.0,42.0,0.2044518423890196,3.4464525217148284e-05,167,6,-2.0,-44.0,1997,,,
6342,codispoti,     316N151_2+71043,1997-06-16,0.0,63.2163,-34.0353,7.89,7.88,34.93,2.0195449683883595,35.09642015552933,7.872155377546164,27.239503539012958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,26.0,0.18900582644563713,3.706060100396077e-05,167,6,-2.0,-28.0,1997,,,
6493,codispoti,     316N151_2+71044,1997-06-16,0.0,63.5038,-34.946,8.11,8.12,35.01,3.0293893828017104,35.17682893795816,8.110723681109548,27.26636740591084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.0,36.0,0.13944278095135232,3.2966623378751216e-05,167,6,6.0,-30.0,1997,,,
6644,codispoti,     316N151_2+71045,1997-06-16,0.0,63.7437,-35.6687,8.61,7.77,35.01,3.0294428361832546,35.17685852181584,7.7609861298121885,27.318692444137696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,0.0,42.0,0.15096262339204713,2.3123021457797438e-05,167,6,-10.0,-52.0,1997,,,
6795,codispoti,     316N151_2+71046,1997-06-17,0.0,63.8433,-35.9685,7.02,6.87,34.86,2.019638333792085,35.02616376615972,6.863872585454157,27.32890127612677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,0.0,56.0,0.12690699342299894,2.0681917515345148e-05,168,6,-26.0,-82.0,1997,,,
6946,codispoti,     316N151_2+71047,1997-06-17,0.0,63.9125,-36.2038,9.97,7.01,35.03,3.029480243432878,35.19697382159784,7.001321003239879,27.443466761615582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,0.0,26.0,0.03888560306747024,4.388882572508517e-06,168,6,-100.0,-126.0,1997,,,
