89.945	68.731	68	-1.1635	-1.1616	2.7604	2.7605	34.356	34.355	7.515	2.109	0.037748	0.072243	0.3561	4.387	0.20577	93.629	6.2615	6.8425
92.872	70.753	70	-1.1731	-1.1723	2.7602	2.7602	34.363	34.362	7.5207	2.1103	0.037642	0.072195	0.57472	4.3094	0.11749	91.972	6.1111	6.6738
95.872	72.775	72	-1.1956	-1.1961	2.7594	2.7595	34.377	34.378	7.535	2.111	0.036657	0.072897	0.69219	4.2625	0.030434	90.969	6.1961	6.7692
98.417	74.797	74	-1.194	-1.1945	2.7596	2.7596	34.376	34.377	7.5375	2.1125	0.036617	0.072301	0.75085	4.2303	0.0030034	90.281	6.2704	6.8525
101.75	76.819	76	-1.1995	-1.2	2.7594	2.7594	34.378	34.379	7.5379	2.1126	0.035766	0.073804	0.73503	4.2296	0.0024523	90.267	6.226	6.8027
104.36	78.841	78	-1.2003	-1.2007	2.7594	2.7594	34.378	34.379	7.5392	2.1125	0.035619	0.073865	0.7979	4.2224	0.0024686	90.112	6.2996	6.8853
107.44	80.863	80	-1.2014	-1.2018	2.7594	2.7595	34.379	34.38	7.5384	2.1122	0.035584	0.073082	0.78802	4.2183	0.0024581	90.024	6.2425	6.8212
110.06	82.885	82	-1.2012	-1.2017	2.7595	2.7596	34.378	34.379	7.5421	2.112	0.035796	0.071275	0.7973	4.2165	0.0024428	89.987	6.2936	6.8786
113.47	84.906	84	-1.2018	-1.2019	2.7596	2.7597	34.378	34.379	7.5382	2.1114	0.035759	0.07288	0.79149	4.2188	0.0024161	90.036	6.1159	6.6792
117.46	86.929	86	-1.201	-1.2016	2.7597	2.7598	34.378	34.379	7.5378	2.1107	0.035406	0.073258	0.81932	4.2184	0.0024128	90.027	6.1902	6.7626
121.58	88.95	88	-1.2025	-1.2029	2.7597	2.7598	34.378	34.379	7.5384	2.1103	0.03598	0.072519	0.78759	4.2139	0.0024038	89.931	6.2179	6.7936
146.47	90.972	90	-1.2033	-1.2035	2.7597	2.7598	34.378	34.379	7.5294	2.1076	0.035835	0.073451	0.84362	4.2023	0.0024209	89.684	6.1458	6.7127
